Date,Close,High,Low,Open,Volume
0,KO,KO,KO,KO,KO
2015-01-02,30.22260856628418,30.409080870591364,29.978762062416763,30.308671233565953,9921100
2015-01-05,30.22260856628418,30.81788196003337,30.179578600584723,30.617065421865412,26292600
2015-01-06,30.452116012573242,30.796369476099763,30.294334885050667,30.416256789767353,16897500
2015-01-07,30.832233428955078,30.918296116432238,30.53818340551491,30.695964543242447,13412300
2015-01-08,31.20517921447754,31.248211935205873,30.911129129210778,30.968506090181894,21743600
2015-01-09,30.860910415649414,31.241025754652966,30.803536218896614,31.17647807337936,12733500
2015-01-12,30.58121681213379,30.98284729189085,30.45212139849344,30.88961110739864,11415800
2015-01-13,30.574047088623047,31.01153681223759,30.444951670642233,30.717486745922162,12529500
2015-01-14,30.523845672607422,30.55253141729011,30.172418625374632,30.17959211345837,13447600
2015-01-15,30.394752502441406,30.739006087147775,30.244139336226382,30.71749109306747,11193100
2015-01-16,30.50232696533203,30.54535968480115,30.294342327607954,30.380405030662192,15114900
2015-01-20,30.954166412353516,31.07609110444589,30.559709323131344,30.624257045795662,17047300
2015-01-21,31.097599029541016,31.147802498433823,30.667280064323435,30.760516250503155,10720600
2015-01-22,31.398818969726562,31.434680934410306,30.889610807469357,31.104768916152874,14709100
2015-01-23,31.06173324584961,31.3772982317192,30.968497079342324,31.26971782914285,12357700
2015-01-26,30.839414596557617,31.004369276558656,30.7174926427725,30.96851003932094,11151900
2015-01-27,30.401920318603516,30.581219214312082,30.229794910818345,30.509500750382266,15274000
2015-01-28,30.064836502075195,30.695969359665245,30.05049499848164,30.545358948977466,14278500
2015-01-29,30.193923950195312,30.22978590736334,29.74209283741684,29.95725090100895,13657900
2015-01-30,29.526935577392578,30.072005655439966,29.483905601045997,30.000287204273302,19193700
2015-02-02,29.828163146972656,29.856851625693512,29.33329920051552,29.55562807089236,15197500
2015-02-03,29.856853485107422,30.014634656130532,29.67038109769272,29.942916190745855,13193100
2015-02-04,29.89271354675293,30.18676364039894,29.849680824798334,29.957261261742744,16400000
2015-02-05,29.971607208251953,29.993122202511714,29.770790563585024,29.978777961043768,11078500
2015-02-06,29.727764129638672,29.9500930592651,29.634527916890853,29.85685958240192,12366400
2015-02-09,29.56997299194336,29.727756892661617,29.433706818703758,29.677553421684713,13371100
2015-02-10,30.409074783325195,30.86090574801947,30.265635209313956,30.77484309796565,32184200
2015-02-11,30.387571334838867,30.47363676117981,29.90705168257813,30.19392822939714,20496300
2015-02-12,30.24413299560547,30.59555999525218,30.172414539783883,30.40909036858582,13818200
2015-02-13,30.115039825439453,30.287165210924883,29.950082455180713,30.136554814654215,10792100
2015-02-17,29.985950469970703,30.036153945526024,29.86402578941904,29.985950469970703,12804200
2015-02-18,29.928564071655273,29.978767531385063,29.74209446921366,29.942908308132836,9789800
2015-02-19,30.201101303100586,30.29433747908616,29.785126622459984,29.892707035972848,16578300
2015-02-20,30.100704193115234,30.20111115266866,29.86402830055263,30.150907672891947,15982400
2015-02-23,30.014633178710938,30.244135539705947,29.899881998213434,29.914226237761117,11830300
2015-02-24,30.215442657470703,30.358882283172992,29.957251878383246,30.014626087134182,12782700
2015-02-25,30.158071517944336,30.29434041973931,29.93574265439899,30.244134215578544,10323300
2015-02-26,30.452116012573242,30.516663707977173,30.100691798838874,30.15089525794378,14346500
2015-02-27,31.0545654296875,31.312756254303526,30.459294571497246,30.495153800275297,28312800
2015-03-02,30.98284149169922,31.05455993656933,30.896778810678427,31.05455993656933,13514600
2015-03-03,30.803543090820312,30.954153468763963,30.724651158787925,30.918294245808333,10036300
2015-03-04,30.480812072753906,30.825065621975398,30.459297080891314,30.782032902366208,16263000
2015-03-05,30.409074783325195,30.559685104889954,30.301494418846186,30.523825895357724,9223000
2015-03-06,29.777952194213867,30.265645266379742,29.641686058358168,30.208268323356357,18180500
2015-03-09,29.684724807739258,29.799475991835592,29.634521335689865,29.785131751838048,10123300
2015-03-10,29.18268394470215,29.512595954365153,29.175513193482473,29.47673399061564,14599100
