Date,Close,High,Low,Open,Volume,MA_20,MA_50,Daily_Return,Volatility
2015-03-16,29.135576248168945,29.17896327729256,28.918632826795097,28.925863078787277,15238800,29.976336765289307,30.22881645202637,0.0095213504243703,0.011377102902425506
2015-03-17,29.294675827026367,29.45376900671239,29.15727892730689,29.41037920536544,21661800,29.94177303314209,30.210257797241212,0.005460663537328214,0.011463968998905628
2015-03-18,29.359739303588867,29.497138869017142,28.7812228029506,29.272962518139195,26247500,29.91333179473877,30.193000411987306,0.002221000052933686,0.011485841072434376
2015-03-19,28.94032287597656,29.3018961211658,28.896933093463275,29.272969599490278,16057600,29.850292873382568,30.16276454925537,-0.014285427512670035,0.01160404808313675
2015-03-20,29.395910263061523,29.4031405152519,28.93309412390244,28.97648391280073,31608500,29.815053176879882,30.1340380859375,0.015742304916133154,0.012259897254216865
2015-03-23,29.374216079711918,29.60562278646665,29.287439254325275,29.38867934370728,17060500,29.78303232192993,30.097418823242187,-0.0007380000535947007,0.012253163434524336
2015-03-24,29.26573944091797,29.6417759481342,29.26573944091797,29.583922904600183,13485700,29.735547161102296,30.065515403747558,-0.0036929202978414066,0.012129226284506441
2015-03-25,29.25128555297852,29.432072234074077,29.099425402918847,29.352525653018294,22811300,29.690207862854002,30.038916778564452,-0.0004938842556372336,0.0121310197807324
2015-03-26,29.178956985473636,29.330819830416093,29.09218018735271,29.171726735040505,17359600,29.626549911499023,30.011014976501464,-0.0024726628637871118,0.011841213187010521
2015-03-27,28.983720779418945,29.272977801466094,28.90417420181562,29.272977801466094,14384400,29.523007678985596,29.980212478637696,-0.0066909933124712495,0.010694286943225198
2015-03-30,29.294675827026367,29.36699216260462,28.8824823692818,29.005418760471763,12561400,29.438599395751954,29.958210945129395,0.010728610380080328,0.011151264346657808
2015-03-31,29.32358932495117,29.576692249074597,29.17895947667849,29.29466280357965,16604800,29.364601707458498,29.934636192321776,0.0009869881508681733,0.011156666438196154
2015-04-01,29.41759490966797,29.511604711313705,29.092178487497733,29.49714145270786,14300700,29.311440849304198,29.903904762268066,0.003205800752256849,0.011054336477058299
2015-04-02,29.41759490966797,29.554991728546728,29.272965082194027,29.453751676890324,14343100,29.26186685562134,29.870304679870607,0.0,0.011059713018326972
2015-04-06,29.77194023132324,30.09012645842549,29.352516693667997,29.482683285012552,19843400,29.261566257476808,29.83776710510254,0.012045353222904565,0.010486581987263236
2015-04-07,29.656248092651367,29.916581373584133,29.62732431811464,29.685174625774128,9773400,29.260142421722414,29.809657402038575,-0.0038859455505070306,0.01049995920964769
2015-04-08,29.569467544555664,29.71409743345025,29.46099719682399,29.634550856628945,8954700,29.279481601715087,29.784258460998537,-0.0029262146656106047,0.009753172176804168
2015-04-09,29.685171127319336,29.706867403897476,29.38145084108249,29.5043844544872,12710900,29.325763320922853,29.769923477172853,0.003912941029097894,0.009088918181810271
2015-04-10,29.562238693237305,29.76471889213939,29.54054241579364,29.71409884241387,8720000,29.336972332000734,29.759871520996093,-0.004141206852228518,0.008050649836302357
2015-04-13,29.43206787109375,29.6273177887636,29.43206787109375,29.6273177887636,9616300,29.365536594390868,29.744634399414064,-0.004403280262172182,0.007142826680658101
2015-04-14,29.294675827026367,29.39591869683592,29.15727892730689,29.35252889548897,11209700,29.37349157333374,29.73998920440674,-0.004668107068423799,0.006954591568488971
2015-04-15,29.215118408203125,29.51160834971506,29.15726536664721,29.352515244021145,11189100,29.369513702392577,29.72772830963135,-0.00271576375492244,0.006874830364535168
2015-04-16,29.359739303588867,29.54775889041148,29.14279596067255,29.222342496744865,13121000,29.369513702392577,29.717786026000976,0.004950207401696938,0.0069502811607434906
2015-04-17,29.14281272888184,29.40314599360584,28.99818283085896,29.26574910770633,15330300,29.379638195037842,29.702788009643555,-0.007388572918306191,0.006348001172549942
2015-04-20,29.403139114379883,29.57669550311885,29.222352473795013,29.229582725640917,13023700,29.37999963760376,29.691418647766113,0.008932781743474116,0.005620963453853654
2015-04-21,29.489919662475582,29.6417825563154,29.31636601035232,29.410373089175103,19673100,29.385784816741943,29.68666175842285,0.0029514041938896174,0.005654964328125528
2015-04-22,29.873186111450195,30.06120300783422,29.699629719062017,30.05397275583629,26887200,29.416157150268553,29.692726020812987,0.012996524010958854,0.00624867019218398
